r,alpha,beta,x
"[0.3773755294973264, 0.324509432829746, 0.21129663569281248, 0.43783057111599594, 0.39456371652301375]","[0.0883710710576386, 0.11181010051357626, 0.06017461183902082, 0.1079878758234699, 0.1407823593029448]","[0.3872197465372776, 0.44716545694056387, 0.4109873708600651, 0.5078245415694488, 0.35409385916324887]","[8.83710710576386, 11.181010051357626, 6.017461183902082, 50.78245415694488, 23.18196750203154]"
"[0.22034529681870257, 0.1746491509465179, 0.13110472609749424, 0.5451604657567972, 0.3842074885420406]","[0.06351286080528964, 0.08202691963558088, 0.06026235834012522, 0.08566543259169679, 0.09379297194680494]","[0.5499439423211514, 0.43903781477955844, 0.3989254805263393, 0.49298019566174456, 0.3710441088579502]","[6.351286080528965, 8.202691963558088, 6.026235834012522, 49.29801956617445, 30.121766555725976]"
"[0.4911147742998877, 0.5177845061049385, 0.07780867626231959, 0.1386434440116036, 0.4749329119047651]","[0.10959057345822845, 0.0716587474623933, 0.10029111550698959, 0.09301187636769817, 0.1305535743808024]","[0.45589949313928624, 0.5151924678474697, 0.5010230455322728, 0.5094968130992542, 0.44907424359051673]","[16.095096589704006, 51.519246784746976, 10.029111550698959, 9.301187636769818, 13.05535743808024]"
"[0.3915467280452083, 0.2602529188462897, 0.4746747272823105, 0.16090921152947174, 0.5143982134268078]","[0.05330542662747337, 0.12299476279716601, 0.12994996711040113, 0.1282463489045886, 0.1262404782465908]","[0.5409545314443742, 0.5484199518133603, 0.5148158132734532, 0.38026182478873577, 0.35057834443981084]","[5.3305426627473365, 12.2994762797166, 34.48751172309612, 12.82463489045886, 35.057834443981086]"
"[0.15838943592037313, 0.42202475967536685, 0.46207974631987647, 0.19654870672441527, 0.44721909770545076]","[0.12576279413648628, 0.13459980921817344, 0.0640207602013133, 0.07113050181055999, 0.13795330475753537]","[0.5267786185393291, 0.43666335284739544, 0.47739140664076796, 0.5241818365558568, 0.421509684057082]","[12.576279413648628, 13.459980921817344, 47.73914066407679, 7.113050181055999, 19.11154881940124]"
"[0.3003248899494255, 0.11127127456847875, 0.5006396930371143, 0.32450166363270616, 0.05486022519703994]","[0.09528392927513052, 0.050258331199909835, 0.05074761977801341, 0.08318256815154652, 0.0654861561256864]","[0.5208197553549359, 0.42709899969596854, 0.4866947005096466, 0.4646201462033008, 0.5487801040967617]","[9.528392927513051, 5.025833119990984, 48.669470050964655, 30.227688288962675, 6.548615612568639]"
"[0.3755119961192509, 0.4523327049335404, 0.5213328298587361, 0.16433444561616284, 0.37021425500561667]","[0.058084287870569865, 0.05027165791322524, 0.07677691070517252, 0.13070393450266454, 0.10728415029308574]","[0.531364663426021, 0.4724191690541545, 0.5427507052169258, 0.44684995586789955, 0.37692442173208246]","[5.808428787056987, 16.117692211675404, 54.275070521692584, 13.070393450266454, 10.728415029308575]"
"[0.20459629793055784, 0.3316511481036685, 0.20071293772979082, 0.2758004140676805, 0.24335954139013632]","[0.11208492660692121, 0.08326986581428017, 0.0884290695715161, 0.06829569372549174, 0.08062742651731104]","[0.43498404500848065, 0.3761354809535337, 0.4972880121020433, 0.5102871152263577, 0.50637506323058]","[11.208492660692121, 37.61354809535337, 8.84290695715161, 34.27230963507179, 8.062742651731105]"
"[0.0759650186324465, 0.4708896766591795, 0.3017271881628778, 0.21026315541668544, 0.4922330103546125]","[0.051583253166851945, 0.06678171225347708, 0.06293892309525845, 0.1368252041438958, 0.08604582676122924]","[0.40145609306825025, 0.3773279893185461, 0.5171077183471989, 0.43493754553541736, 0.45734998026599266]","[5.158325316685194, 29.13026393280012, 6.2938923095258446, 13.682520414389579, 45.734998026599264]"
"[0.4753944706114062, 0.43396774709283, 0.12941385833443808, 0.3563040173907199, 0.201044694241709]","[0.09160439878942543, 0.13292727588808118, 0.12153268878370818, 0.05430562618747964, 0.08467686011572673]","[0.40012843603089376, 0.5270089702421188, 0.5442962452098609, 0.3702914523492966, 0.5316396399730233]","[40.01284360308938, 33.93563888821917, 12.153268878370818, 5.430562618747964, 8.467686011572672]"
"[0.33533480806189, 0.22707303872776957, 0.05781622784121988, 0.36433857682038456, 0.1217871528911801]","[0.09266492174634242, 0.10663823759358246, 0.14104204115057778, 0.07670041762917591, 0.10010249133392217]","[0.4452270107758496, 0.35207123859135414, 0.47500811551502103, 0.5031795038534562, 0.41305849984612036]","[14.90377260684613, 10.663823759358246, 14.104204115057778, 50.317950385345625, 10.010249133392216]"
"[0.43625902536055977, 0.1137752082437959, 0.14092765173831157, 0.5288821780642913, 0.5472968689748361]","[0.12429608252760442, 0.1383573105680348, 0.09476877093122396, 0.08177931105188521, 0.095952997070388]","[0.40001558594230807, 0.35660113450817077, 0.40932398464149344, 0.3989250966204453, 0.3580615875546849]","[12.429608252760442, 13.83573105680348, 9.476877093122397, 28.45162484184518, 35.806158755468495]"
"[0.46742969571349574, 0.371422609059395, 0.3423578096048944, 0.38540977481349165, 0.15779697750180888]","[0.09465611794779044, 0.14821684864763762, 0.12194472281483693, 0.08967613741234057, 0.05275902682134336]","[0.49546936926931884, 0.45055208514745804, 0.37560668096267535, 0.38846033235002714, 0.3734574632491468]","[49.546936926931885, 14.821684864763762, 12.194472281483693, 18.161003244686327, 5.275902682134336]"
"[0.2678514554779877, 0.2766274777298337, 0.5017638764168891, 0.2543662316215576, 0.35852761004595857]","[0.08362543204496334, 0.11582563162008837, 0.060520153792145495, 0.14769855859447806, 0.12899327509958225]","[0.37270088082035124, 0.37049422212748523, 0.4186388494705147, 0.39292745476539637, 0.39486933558395837]","[8.362543204496333, 11.582563162008837, 41.863884947051474, 14.769855859447805, 23.42115282699555]"
"[0.46014141187359137, 0.4180166519418953, 0.33529588441720504, 0.1473365390871848, 0.34678080699036257]","[0.06756446417887219, 0.07295890803622813, 0.14261877922563776, 0.1226478180536854, 0.09264685857583671]","[0.39151740537738533, 0.530774230766195, 0.4337744754284661, 0.45644055628214575, 0.3778004920298545]","[39.15174053773853, 25.056913876745476, 14.261877922563777, 12.26478180536854, 9.264685857583672]"
"[0.19184202750915103, 0.4963133534793457, 0.4194464597848834, 0.4282212058669239, 0.489287580172714]","[0.12217108875894261, 0.133805388775825, 0.12896176577990492, 0.11527138511411096, 0.10729136789740751]","[0.4934553804123223, 0.501294006723692, 0.526082370158049, 0.36411070323606165, 0.40971699921089]","[12.217108875894262, 50.129400672369194, 12.896176577990492, 11.527138511411096, 13.23017536233495]"
"[0.2326166139603147, 0.16862226710471773, 0.3251497632822278, 0.42152446150049794, 0.2559559371951609]","[0.11188108556025778, 0.10903986291702758, 0.14116874894216125, 0.07372164496966195, 0.05620237787258198]","[0.5096054880868186, 0.4801408045194254, 0.4730744311417668, 0.474003828542933, 0.3603547126466766]","[11.188108556025778, 10.903986291702758, 24.88728451071998, 47.4003828542933, 5.620237787258198]"
"[0.39266499930109944, 0.20731120867262687, 0.10884611804616069, 0.1352449612530625, 0.4223535399912993]","[0.13517097161934494, 0.13144674958752361, 0.09514730791816554, 0.07340135209202775, 0.09295807577138235]","[0.43565478874636154, 0.40506546721219383, 0.49838023185067293, 0.5300572632028994, 0.48345401087249146]","[21.655057952979163, 13.144674958752361, 9.514730791816554, 7.340135209202775, 48.345401087249144]"
"[0.21423578795142967, 0.5044008802487402, 0.255231277100252, 0.3328618222160079, 0.46753055835456003]","[0.1264154446900101, 0.09591756051954078, 0.07358061279283203, 0.07793521529583455, 0.09554263204033114]","[0.38611559268039697, 0.5398854946424508, 0.4865327279296633, 0.5471560018276976, 0.43681079776764103]","[12.641544469001008, 53.98854946424508, 7.358061279283203, 7.7935215295834555, 18.218323257887256]"
"[0.2647834703964106, 0.3215406831775509, 0.13191981109253864, 0.31840430002861664, 0.4881561942370578]","[0.06510549534761932, 0.0750458273342238, 0.12070635821043184, 0.06523802687663885, 0.14313276927710222]","[0.4497884302941613, 0.3560837929631505, 0.3583843199413015, 0.3649434352829676, 0.41449794457688216]","[6.510549534761932, 33.44521749884278, 12.070635821043183, 6.523802687663885, 41.44979445768821]"
"[0.5022777678030635, 0.46537232210646323, 0.5027392535987893, 0.1724307183993189, 0.32996139425210724]","[0.1121302325063199, 0.11565586586010913, 0.1475140545259285, 0.08444143860492749, 0.050701853056640434]","[0.39773597694753093, 0.3715067816842633, 0.47993761241004074, 0.41000228282612117, 0.48971630472198513]","[26.926323006828227, 11.565586586010914, 47.99376124100407, 8.44414386049275, 5.070185305664044]"
"[0.15371921591013094, 0.482928689405807, 0.1434706707075264, 0.3302398887105565, 0.29968627458238545]","[0.14373087915887278, 0.11337060717432852, 0.0812752418055887, 0.13296684351828142, 0.13092172634951138]","[0.48223391772656277, 0.45601469862449345, 0.4595410339400161, 0.4989611768369072, 0.4619117128669261]","[14.373087915887279, 45.60146986244934, 8.12752418055887, 18.805745406153363, 13.092172634951138]"
"[0.5487319938281119, 0.21357261658848625, 0.17550530121067487, 0.3734367778431075, 0.1997363201892836]","[0.09799223443759206, 0.13242259771635978, 0.07601012313602923, 0.11253086155059361, 0.06855615970310257]","[0.4070837651789186, 0.4109117444299669, 0.4949714844876905, 0.5275832345744498, 0.39778321919671944]","[40.70837651789186, 13.242259771635979, 7.601012313602923, 31.592735426558985, 6.855615970310256]"
"[0.4878649209198462, 0.16722946328276062, 0.37784685581672084, 0.1650838316637973, 0.3740495351144162]","[0.06442708546416022, 0.06748575244999241, 0.1457547461891996, 0.12581899366252516, 0.13115987989935995]","[0.4736078381637711, 0.40890359648942615, 0.5316326736811047, 0.5368312996864069, 0.36943023421796817]","[47.36078381637711, 6.748575244999241, 20.192753582435138, 12.581899366252516, 13.115987989935995]"
"[0.23804342226519143, 0.0774104591026455, 0.25739771333389017, 0.48045715059226196, 0.14330464822089273]","[0.05713213856619181, 0.095164881716818, 0.13393613333590204, 0.0859252979001428, 0.12431159059784376]","[0.5241217660196302, 0.4931581722506255, 0.50995410100245, 0.4484721212357953, 0.4324072966844591]","[5.713213856619181, 9.5164881716818, 27.49192678833512, 44.847212123579524, 12.431159059784376]"
"[0.10437964372564136, 0.5481323115567077, 0.13716742028504514, 0.33257105780684726, 0.4111565099611362]","[0.05185698148465193, 0.14376298407008192, 0.14862110550538804, 0.11763659051210835, 0.06585067269512535]","[0.40340467956271964, 0.40966328663125884, 0.3704334998940811, 0.4344640429183229, 0.49386511753868967]","[5.185698148465193, 40.966328663125886, 14.862110550538803, 11.763659051210835, 27.222203586659283]"
"[0.2829255352873587, 0.26902498550570314, 0.28915767386918667, 0.07155106974772531, 0.32478575150420425]","[0.10601500617985238, 0.09029809102449152, 0.08621140149054647, 0.06519254997849906, 0.10820508363435796]","[0.5479064588342205, 0.4682233630223468, 0.44671890401788056, 0.4817114325750495, 0.4457342913364409]","[10.601500617985238, 9.029809102449152, 29.276006148071616, 6.519254997849906, 44.57342913364409]"
"[0.13029980883199604, 0.11167509224845375, 0.06264370404282406, 0.16317405286777487, 0.22495354687432068]","[0.063715654613678, 0.14461554240902286, 0.10733242072000014, 0.14120655624243691, 0.11552735244715477]","[0.5143595855531907, 0.40383379239684375, 0.3914126003922033, 0.38649739677989464, 0.35040037285125414]","[6.371565461367799, 14.461554240902286, 10.733242072000014, 33.39360094060449, 35.040037285125415]"
"[0.29193885355122173, 0.24801779499936832, 0.35220995517969406, 0.24239374040455608, 0.33957949237200435]","[0.0907063852531948, 0.13271181042475833, 0.10702199011418416, 0.14678050195678133, 0.08719992318085965]","[0.4504250944329399, 0.3910685744850734, 0.5175805500418321, 0.49854619220245333, 0.35761665688797023]","[9.07063852531948, 13.271181042475833, 51.75805500418321, 14.678050195678132, 11.222075232343343]"
"[0.5220087978536146, 0.5347496407063627, 0.31018515466159613, 0.266166094089213, 0.14364946853934724]","[0.09402797517840569, 0.054204792372045243, 0.14075690109408234, 0.053980881194724877, 0.09035753265660315]","[0.5205639128292078, 0.3598104204718444, 0.41356919015836563, 0.3541931382198496, 0.3574612862627894]","[35.509426458274504, 35.981042047184445, 14.075690109408235, 5.3980881194724875, 9.035753265660315]"
"[0.11856462320574236, 0.3485922015547773, 0.09350617980884231, 0.42038881823612045, 0.10677780483630407]","[0.09740947496862076, 0.09925933912511552, 0.09954154984669614, 0.09306079808425609, 0.05588384122958049]","[0.3851215040014498, 0.3792139058469492, 0.43970294943217864, 0.43861001359081575, 0.5103332361686594]","[9.740947496862077, 30.855512036428685, 9.954154984669614, 43.86100135908158, 5.588384122958049]"
"[0.32831001117915126, 0.31030973109502036, 0.463991476121314, 0.37201337218651825, 0.5150542971286778]","[0.11128999731081016, 0.13748149235196377, 0.09040920921495653, 0.05770006775465441, 0.051445841228066926]","[0.38729412410673497, 0.38796169940014763, 0.43509593636274985, 0.5221023845857851, 0.5009066776375296]","[11.128999731081016, 13.748149235196378, 19.262176494504196, 5.770006775465441, 50.09066776375296]"
"[0.2256724864665226, 0.3004971298570485, 0.35513519448490005, 0.5317002042893932, 0.4201071870245541]","[0.13176371313782992, 0.1428103383108331, 0.14957535232963748, 0.1368619078083209, 0.1017612084376484]","[0.4624107950113363, 0.4319683902345917, 0.410591776524044, 0.4455274701393481, 0.5045813237238532]","[13.176371313782992, 14.28103383108331, 14.957535232963748, 44.55274701393481, 13.032312608235138]"
"[0.266375683450019, 0.46900205044491455, 0.24328211399716299, 0.47730972191639176, 0.1764107016783525]","[0.11414963817844234, 0.10815229245765101, 0.14503548397410015, 0.14549747218677556, 0.09136423283929149]","[0.35762554382349093, 0.41969427679449384, 0.41502234180964753, 0.476061229218257, 0.4930832156578219]","[11.414963817844233, 17.338941578990898, 14.503548397410015, 47.6061229218257, 9.13642328392915]"
"[0.22017414113600514, 0.22837920075989548, 0.5171218855634901, 0.3591556145680054, 0.4501283552388942]","[0.05875856679660577, 0.06135045585412088, 0.06426339350837891, 0.06562677167257527, 0.10373877598666796]","[0.4223632677749608, 0.4629365505776481, 0.5313802605816137, 0.4741504213074355, 0.3538230653103707]","[5.875856679660577, 6.135045585412088, 53.13802605816137, 6.562677167257528, 28.288394509508443]"
"[0.2973363779055988, 0.42476742328155176, 0.12877198354345892, 0.09600179417543155, 0.4761445074195207]","[0.073132388922666, 0.11903115533150282, 0.1249000407521753, 0.07139276571456324, 0.1212552216160494]","[0.4870633492732625, 0.5242353680030213, 0.3987919427500349, 0.3785852494119038, 0.518943445481407]","[7.3132388922666, 21.163135912918854, 12.490004075217529, 7.139276571456324, 51.8943445481407]"
"[0.426347258291188, 0.2713771637222978, 0.44822833081399904, 0.3605265169623203, 0.2635083528213291]","[0.09425578406394311, 0.06125183397541717, 0.125509890062273, 0.06912824293951617, 0.06615181597538902]","[0.5395740556801357, 0.37812516079465186, 0.5166748231590585, 0.3881392562945647, 0.35367855548219485]","[28.6793283950619, 6.125183397541717, 51.66748231590586, 6.9128242939516165, 6.615181597538903]"
"[0.4537964620365919, 0.4181204397913436, 0.11967278035618402, 0.29376767939960174, 0.48664034790190425]","[0.11625691131243361, 0.13643615758998737, 0.08140399387356868, 0.06497343217010229, 0.07950364863301135]","[0.45118144738481736, 0.3763957805130298, 0.4433130688794322, 0.3865943016245769, 0.37628556980987465]","[34.090084655646706, 13.643615758998736, 8.140399387356869, 6.497343217010229, 37.62855698098747]"
"[0.19259558083244938, 0.12809318548180365, 0.10491890495847346, 0.4605783465215269, 0.15238043774174087]","[0.1318562652567971, 0.1491097625712649, 0.09092728148753823, 0.14895097876735547, 0.06242583362251178]","[0.41086716982213123, 0.5282793543007349, 0.5445934023840716, 0.4041915959721585, 0.4252634425456789]","[29.33455263465266, 14.91097625712649, 9.092728148753823, 40.419159597215845, 6.242583362251178]"
"[0.5002633503468019, 0.16057179265552285, 0.4440810433935601, 0.2789608905352916, 0.342726900925422]","[0.05521704841801076, 0.0769807094732903, 0.1296321073794306, 0.11854849390795903, 0.10379454373205421]","[0.460228736712383, 0.3573886195585667, 0.5273083282895915, 0.518405510995581, 0.48515485381534623]","[46.0228736712383, 7.698070947329031, 24.044751617431345, 11.854849390795904, 10.379454373205421]"
"[0.31181105005964815, 0.24460728394560693, 0.08350345051987247, 0.15698483337921032, 0.27368707088102784]","[0.13994972813171813, 0.06145782237437728, 0.12126280043487607, 0.05330775549071546, 0.1233565038199754]","[0.5095830637416173, 0.43463002450679045, 0.5007089542537025, 0.3881340947590587, 0.38119994813750513]","[50.95830637416173, 6.145782237437728, 12.126280043487608, 5.330775549071546, 25.438855795841388]"
"[0.29357974460239206, 0.288228272337108, 0.170472651130122, 0.2625025556772437, 0.2454526556617611]","[0.10956295045444309, 0.1413054043089524, 0.1216601791633632, 0.10660576690984938, 0.11587844958696017]","[0.4850175870048782, 0.3543662216044561, 0.5226086368231109, 0.41788789609929106, 0.4394984567007196]","[48.50175870048782, 17.0838017334949, 12.16601791633632, 10.660576690984938, 11.587844958696017]"
"[0.07102908803644221, 0.49903186966260565, 0.4460413024641151, 0.07821952226142816, 0.10877753375042222]","[0.10386298770517319, 0.09765775033150689, 0.14066936357034945, 0.14621110834296203, 0.10102749128406545]","[0.4746664801254536, 0.4433834343362478, 0.4873729566258809, 0.4997583713476462, 0.38003223312115075]","[10.38629877051732, 44.33834343362478, 20.55149783315516, 14.621110834296204, 10.102749128406545]"
"[0.400979453418704, 0.32133117004516604, 0.1660122078875555, 0.41508144518544116, 0.3894484505238853]","[0.09600016680408432, 0.10138036568779206, 0.05576125802058079, 0.09948785558454504, 0.07451427064668441]","[0.521441040865624, 0.3692609581640964, 0.425698771106647, 0.4748831083389504, 0.46499305806230357]","[29.346099730599235, 10.138036568779206, 5.576125802058079, 47.48831083389504, 7.451427064668441]"
"[0.17377227715273935, 0.4669798656874368, 0.381471988945237, 0.10270000232852979, 0.41705506783199925]","[0.06126354739610464, 0.08523953875957485, 0.12905921997974662, 0.10317869078424173, 0.06407051459250787]","[0.4393991504707563, 0.5041410181265686, 0.5334354766442433, 0.49891869425891355, 0.44761438742358484]","[6.126354739610464, 50.41410181265687, 12.905921997974662, 10.317869078424174, 20.235752371333835]"
"[0.22626892305733348, 0.3885860890069303, 0.07256500458551408, 0.19764946444019643, 0.39732845804566985]","[0.11630462198282279, 0.12030574387583871, 0.10994416863676706, 0.09781368334952584, 0.11907836210853974]","[0.49443082212067535, 0.37290798322789387, 0.4907773990342714, 0.5147905983880597, 0.5332661335232584]","[11.63046219828228, 14.267139250762602, 10.994416863676706, 9.781368334952584, 53.326613352325836]"
"[0.1885428902680486, 0.3250795029992987, 0.409382374003338, 0.27079393391922585, 0.31617124837548594]","[0.11199569566281908, 0.13295404420588913, 0.12416480175741465, 0.12069023704947564, 0.13699987984235484]","[0.5446415418003634, 0.5067340007772778, 0.35360454713750783, 0.46781760786523485, 0.50029712046589]","[11.199569566281909, 27.67096403078427, 35.360454713750784, 12.069023704947563, 13.699987984235484]"
"[0.5430743537739656, 0.4753590308975296, 0.3335956373436994, 0.05858907954708349, 0.322833223214529]","[0.12524787550911504, 0.06576905502286999, 0.11335863574436636, 0.06158803258611731, 0.0700362035219215]","[0.494554129052031, 0.4823173865649823, 0.38735220087464733, 0.5475845467378679, 0.4249411034814452]","[49.4554129052031, 26.04629990955638, 11.335863574436637, 6.158803258611731, 7.00362035219215]"
"[0.4227369394147672, 0.36079796664837066, 0.35169263733692174, 0.14959926854358452, 0.14362746224431322]","[0.11670625125600201, 0.05583676182563403, 0.13811050589756174, 0.11633472892927743, 0.08092740133041455]","[0.4464090830770236, 0.44027989284243446, 0.4293293931575018, 0.41884622395677457, 0.36941992429663706]","[44.64090830770236, 21.821828076572263, 13.811050589756174, 11.633472892927744, 8.092740133041456]"
"[0.22208792558944862, 0.3252416546249989, 0.20346085245733891, 0.13010760915498554, 0.24945480283054966]","[0.140356378011031, 0.1251115962444701, 0.07156878579420899, 0.08837875069822783, 0.05873272784373077]","[0.3958764596750899, 0.3759404002045004, 0.41444172837031334, 0.5453717750136047, 0.36260337411283144]","[14.035637801103102, 37.594040020450045, 7.156878579420899, 8.837875069822783, 32.375568529203164]"
"[0.49823915527491963, 0.26632094976396536, 0.2814392062698428, 0.11098359094498468, 0.4142181900306462]","[0.12069675108856003, 0.1439343254298589, 0.13112758821756532, 0.1029216021691228, 0.0880269758840365]","[0.4289240949719507, 0.4773211291530703, 0.38708273330509463, 0.37973496324615374, 0.47009654021908776]","[42.892409497195075, 14.39343254298589, 13.112758821756533, 10.29216021691228, 19.30923892115022]"
"[0.22785252585609594, 0.31226340084728854, 0.22620181108111015, 0.39187028466527146, 0.20900731497282876]","[0.08004817022228135, 0.1352642756233532, 0.05876554092190847, 0.08604000469367257, 0.05104785879794768]","[0.5116731462619168, 0.4093733105007959, 0.38670377029029684, 0.5383715624737959, 0.5176588455807589]","[8.004817022228135, 27.17668675840665, 5.8765540921908475, 53.83715624737959, 5.104785879794768]"
"[0.42864332729856197, 0.5217171576181425, 0.2892610846366684, 0.06019697107703299, 0.10737114045269132]","[0.07009266789463706, 0.08209283677367668, 0.12071344343943373, 0.1346870104178382, 0.14094136361907933]","[0.3883236793971954, 0.3764770578224672, 0.42324040362374515, 0.350350953777088, 0.49993417521052397]","[22.718112470118164, 37.64770578224672, 12.071344343943373, 13.46870104178382, 14.094136361907934]"
"[0.17641959654604578, 0.24267836799651682, 0.17696662802777424, 0.39978321708166814, 0.32633111659261743]","[0.1349103691624951, 0.1282104883646298, 0.05093146272279343, 0.0706598772333131, 0.14342470657444573]","[0.5168849232558155, 0.5111891248997176, 0.536599000760599, 0.4440502164435251, 0.43645059153820903]","[13.49103691624951, 12.821048836462982, 5.093146272279343, 44.40502164435251, 24.18974633065566]"
"[0.2605166644533686, 0.39925850605317204, 0.13082015562256705, 0.3566744265600904, 0.45588919030398606]","[0.12875158564357603, 0.06959827914316051, 0.10831397646503965, 0.13283300762979666, 0.06464240686473545]","[0.3628242382118617, 0.456617444482364, 0.36807661396371194, 0.5304432980840175, 0.5289109653535575]","[12.875158564357603, 10.119046490803015, 10.831397646503966, 13.283300762979666, 52.89109653535575]"
"[0.0500712120639908, 0.3093142589112561, 0.09259417695282014, 0.4565329674300882, 0.08005068271207762]","[0.056460583266407655, 0.06837786751506686, 0.08347320017989024, 0.05785809414372881, 0.0935354154578614]","[0.4195003178257004, 0.3932161065184079, 0.5220259635779807, 0.5306118110496715, 0.46650276482780706]","[5.646058326640765, 23.591899004616916, 8.347320017989023, 53.06118110496715, 9.35354154578614]"
"[0.1771442731941969, 0.26266095470252704, 0.15956537543325333, 0.4589421274392488, 0.3807404430925157]","[0.1375726012303844, 0.12401879527024544, 0.12665784215417186, 0.14517770018421747, 0.07835287184200375]","[0.4257146421167525, 0.5403573263922739, 0.3629178288612867, 0.5089663272722358, 0.445661487448799]","[13.757260123038439, 12.401879527024544, 12.665784215417187, 50.896632727223576, 10.278443407296251]"
"[0.09354312360566482, 0.1018569445618104, 0.511355030830653, 0.29275637208397803, 0.32731522662080653]","[0.13995933547136585, 0.1404584566826944, 0.06002353617654038, 0.11324515335746953, 0.09181794401807938]","[0.40763513043065963, 0.5486144360749952, 0.3651583097987102, 0.4609295497910719, 0.4475186917229452]","[13.995933547136586, 14.045845668269441, 36.51583097987102, 11.324515335746952, 24.117874468976005]"
"[0.3184616989197673, 0.4814041957844575, 0.3976295142665783, 0.34574552469702957, 0.4867445605063843]","[0.1331266621687489, 0.06583596650202675, 0.09708142810485654, 0.07362976002839752, 0.05609142447759479]","[0.37523526309711097, 0.42703548519326484, 0.42577375093884584, 0.40576818577660634, 0.5209488346971494]","[13.312666216874891, 17.52133150008477, 9.708142810485654, 7.362976002839752, 52.09488346971494]"
"[0.5319587764698084, 0.5312626438736529, 0.503521229071778, 0.5085048928303065, 0.34087945626042926]","[0.14147233462255343, 0.10661082741309477, 0.09534882573742452, 0.07693181363126697, 0.07827152171761934]","[0.44729815622688296, 0.5263169086438924, 0.5433555209183267, 0.3562118783346411, 0.4100549948739522]","[44.72981562268829, 30.21496826868063, 9.534882573742452, 7.693181363126697, 7.8271521717619335]"
"[0.10548781247412888, 0.4762161710908636, 0.4878392122309688, 0.13753142573788418, 0.3042428817825892]","[0.06662148558878188, 0.1410007147330146, 0.1278766320009504, 0.054080074632095, 0.060452406531408466]","[0.35947518264029005, 0.4519630869117701, 0.46848686698037156, 0.5062763647432234, 0.38972419467114705]","[6.6621485588781875, 35.035916626734306, 46.848686698037156, 5.4080074632095, 6.045240653140847]"
"[0.2210005026918498, 0.22265534954746252, 0.243922977499702, 0.17996909289097668, 0.372731723552825]","[0.13688722757503746, 0.051780549994665685, 0.11471702909661564, 0.10338292849963271, 0.13887819291132403]","[0.4889134173459202, 0.44138032002602334, 0.5258535449317577, 0.5090652037913743, 0.3687468342119812]","[13.688722757503747, 5.1780549994665686, 33.9202459718683, 10.33829284996327, 36.87468342119812]"
"[0.2758856200694613, 0.29134922798139984, 0.06022996348914918, 0.45532247491623395, 0.1541381033993206]","[0.12290693850767982, 0.05939730078327914, 0.11599491809260726, 0.143294333928212, 0.06850125759231893]","[0.413542799563589, 0.46344175921582875, 0.4219093187085207, 0.49782887639601925, 0.508783973472751]","[12.290693850767981, 19.476800941137483, 11.599491809260726, 49.782887639601924, 6.850125759231893]"
"[0.06613257734450435, 0.24482989883809103, 0.290630588045153, 0.287676501131723, 0.2379712766131432]","[0.09088114519261443, 0.1139621913305477, 0.09450858602951431, 0.0616917764416228, 0.10109689035114963]","[0.5373068874966405, 0.4596898526102303, 0.5445573254220791, 0.533962495436582, 0.3741123105734645]","[9.088114519261444, 11.396219133054771, 54.45573254220791, 14.950244770360916, 10.109689035114963]"
"[0.49685286158517866, 0.14216212140541334, 0.22751313908918147, 0.11676770810812805, 0.1221584165276854]","[0.1147688971679322, 0.1369660457554483, 0.10504632831208137, 0.10455408004179612, 0.14054472568151405]","[0.4476328834539034, 0.5037485751956307, 0.4298644823864781, 0.3829102673475756, 0.36924772407876444]","[44.763288345390336, 13.69660457554483, 17.03022650673382, 10.455408004179612, 14.054472568151406]"
"[0.3652534596340843, 0.10779938947373542, 0.21104835469165067, 0.38460925428371845, 0.21784287331105684]","[0.07079471687414794, 0.14922323426538953, 0.08074905676581703, 0.1490684259888161, 0.09371018207895893]","[0.4307603226543144, 0.39702725120765003, 0.4145154993051787, 0.3570245679562237, 0.4809361241491425]","[31.929295893361086, 14.922323426538952, 8.074905676581704, 35.702456795622375, 9.371018207895892]"
"[0.5024547972132978, 0.5264409702007745, 0.38541919877265735, 0.5210325687667788, 0.052219305576137645]","[0.12011434868415968, 0.0573226637565625, 0.06156687864776113, 0.05184568280321984, 0.09977002765877444]","[0.4172958007308021, 0.40741057564316224, 0.37489479084050864, 0.4249074527070768, 0.38610720313526387]","[12.011434868415968, 40.74105756431622, 6.156687864776113, 31.113816936614263, 9.977002765877444]"
"[0.35216811744758086, 0.41309274820241326, 0.20458480878054286, 0.4926153635919104, 0.1548513119710035]","[0.1286698944012991, 0.10922638874443094, 0.1492045968667592, 0.12293110160316127, 0.06382554100009877]","[0.46193009080502906, 0.5229203502212094, 0.49618780203297874, 0.5250043033738423, 0.41938329879097047]","[12.866989440129911, 13.329566435800054, 14.920459686675919, 52.50043033738423, 6.382554100009877]"
"[0.08932494063366171, 0.23513926512239008, 0.45827527739045015, 0.26364547832715984, 0.11122081538513397]","[0.054454108471702956, 0.12563576234579832, 0.1311580744208381, 0.13988461249785045, 0.07691677972401632]","[0.546913385906167, 0.5436030409923086, 0.4991575344721261, 0.3614363355694369, 0.5103118062188021]","[5.4454108471702956, 12.563576234579832, 49.91575344721261, 24.38358149863564, 7.691677972401632]"
